,K_r,K_theta,sigma_r,sigma_t,lengths,angles
0,0.0,0.0,0.24779109937303512,0.27003244334106835,[2.       2.000005 2.       ... 2.098522 2.098439 2.098373],[180.     179.999  179.996  ...  88.5033  88.4975  88.4911]
1,0.0,1.0,0.20625888964387123,0.15914183295110018,[2.       2.000005 2.       ... 2.83575  2.83591  2.83602 ],[180.    179.999 179.996 ... 105.528 105.565 105.603]
12,0.0,2.0,0.22329009520921758,0.19266314063590242,[2.       2.000005 2.       ... 2.418672 2.419486 2.42029 ],[180.    179.999 179.996 ... 122.585 122.664 122.744]
14,0.0,3.0,0.2219855348388988,0.09413290419005609,[2.       2.000005 2.       ... 2.46917  2.46862  2.46808 ],[180.    179.999 179.996 ... 163.814 163.877 163.94 ]
15,0.0,4.0,0.2912265754186636,0.07608928358360931,[2.       2.000005 2.       ... 2.132075 2.1324   2.132747],[180.    179.999 179.996 ... 163.685 163.593 163.501]
16,0.0,5.0,0.2221721941098501,0.08063033207872605,[2.       2.000005 2.       ... 2.75818  2.75864  2.75909 ],[180.    179.999 179.996 ... 160.633 160.757 160.882]
17,0.0,6.0,0.24044056021963126,0.09831252414774996,[2.       2.000005 2.       ... 2.59837  2.59982  2.60128 ],[180.    179.999 179.996 ... 159.717 159.629 159.538]
18,0.0,7.0,0.2173380508732787,0.07139596704385603,[2.       2.000005 2.       ... 2.81706  2.81839  2.81975 ],[180.    179.999 179.996 ... 160.657 160.586 160.515]
19,0.0,8.0,0.21204914091944121,0.05683096285473006,[2.       2.000005 2.       ... 2.580369 2.581388 2.582415],[180.    179.999 179.996 ... 139.102 138.992 138.882]
20,0.0,9.0,0.2194571543922689,0.05434543014301757,[2.       2.000005 2.       ... 2.42004  2.42141  2.42279 ],[180.    179.999 179.996 ... 164.288 164.407 164.525]
2,0.0,10.0,0.19407858223394117,0.06242700839061077,[2.       2.000005 2.       ... 2.85108  2.85216  2.85325 ],[180.    179.999 179.996 ... 162.015 162.033 162.052]
3,0.0,11.0,0.20082386077557265,0.06434092898938379,[2.       2.000005 2.       ... 2.93551  2.93711  2.93871 ],[180.    179.999 179.996 ... 152.42  152.425 152.429]
4,0.0,12.0,0.2124138504316599,0.06235887004736392,[2.       2.000005 2.       ... 2.8763   2.87672  2.87715 ],[180.    179.999 179.996 ... 165.657 165.788 165.919]
5,0.0,13.0,0.23262338573415653,0.051110817858722464,[2.       2.000005 2.       ... 2.71847  2.7201   2.72175 ],[180.    179.999 179.996 ... 168.295 168.183 168.07 ]
6,0.0,14.0,0.21058684790966992,0.05565326602324479,[2.       2.000005 2.       ... 2.8252   2.82696  2.82871 ],[180.    179.999 179.996 ... 155.885 155.796 155.708]
7,0.0,15.0,0.2041678147738467,0.0425465631536631,[2.       2.000005 2.       ... 2.80467  2.80615  2.80764 ],[180.    179.999 179.996 ... 156.446 156.429 156.413]
8,0.0,16.0,0.22124616620968166,0.037976687994936,[2.       2.000005 2.       ... 2.63655  2.63737  2.6382  ],[180.    179.999 179.996 ... 171.932 171.945 171.958]
9,0.0,17.0,0.20351220799566355,0.03747730445556903,[2.       2.000005 2.       ... 2.372662 2.372715 2.372768],[180.    179.999 179.996 ... 170.509 170.567 170.626]
10,0.0,18.0,0.27913325900930175,0.028160661225409934,[2.       2.000005 2.       ... 2.32012  2.32128  2.32246 ],[180.    179.999 179.996 ... 171.539 171.583 171.625]
11,0.0,19.0,0.22596257758772925,0.0298189030711701,[2.       2.000005 2.       ... 2.7949   2.79621  2.79752 ],[180.    179.999 179.996 ... 165.582 165.529 165.477]
13,0.0,20.0,0.22765592844201696,0.02211228016318345,[2.       2.000005 2.       ... 2.7153   2.71652  2.71775 ],[180.    179.999 179.996 ... 165.385 165.397 165.408]
210,5.0,0.0,0.17041059592865135,0.16687422820423584,[2.       2.000005 2.       ... 2.80581  2.80652  2.80728 ],[180.    179.999 179.996 ... 118.324 118.335 118.345]
211,5.0,1.0,0.18360847163110708,0.13541479938730713,[2.       2.000005 2.       ... 2.92382  2.92466  2.92552 ],[180.    179.999 179.996 ... 140.611 140.577 140.543]
222,5.0,2.0,0.2006533925943263,0.10743504675813051,[2.       2.000005 2.       ... 2.421969 2.422934 2.423898],[180.    179.999 179.996 ... 145.259 145.173 145.086]
224,5.0,3.0,0.19008485986093424,0.0947880824847273,[2.       2.000005 2.       ... 2.455195 2.455287 2.455397],[180.    179.999 179.996 ... 130.118 130.216 130.314]
225,5.0,4.0,0.22095593599933716,0.07963608176103645,[2.       2.000005 2.       ... 2.376408 2.377758 2.379102],[180.    179.999 179.996 ... 146.636 146.54  146.444]
226,5.0,5.0,0.19206929332540393,0.07863204677539587,[2.       2.000005 2.       ... 2.087237 2.086968 2.086712],[180.    179.999 179.996 ... 164.328 164.468 164.609]
227,5.0,6.0,0.18815483633014418,0.05182660883269884,[2.       2.000005 2.       ... 2.61281  2.61307  2.61334 ],[180.    179.999 179.996 ... 140.475 140.459 140.441]
228,5.0,7.0,0.19185772790331074,0.06897044215339468,[2.       2.000005 2.       ... 2.31615  2.31651  2.31688 ],[180.    179.999 179.996 ... 156.703 156.678 156.654]
229,5.0,8.0,0.1903641313808195,0.03619740188430555,[2.       2.000005 2.       ... 2.46332  2.46346  2.46361 ],[180.    179.999 179.996 ... 160.722 160.704 160.686]
230,5.0,9.0,0.1920771287447612,0.035350557637506115,[2.       2.000005 2.       ... 2.46675  2.46694  2.46715 ],[180.    179.999 179.996 ... 159.038 159.019 158.999]
212,5.0,10.0,0.19200255276941522,0.035693324438618106,[2.       2.000005 2.       ... 2.49946  2.4996   2.49975 ],[180.    179.999 179.996 ... 156.08  156.084 156.087]
213,5.0,11.0,0.19087749663674,0.03666852766797934,[2.       2.000005 2.       ... 2.47964  2.47963  2.47963 ],[180.    179.999 179.996 ... 160.306 160.35  160.394]
214,5.0,12.0,0.19360316554099166,0.035202966220406966,[2.       2.000005 2.       ... 2.4264   2.42644  2.42648 ],[180.    179.999 179.996 ... 166.922 166.977 167.031]
215,5.0,13.0,0.20112657931815262,0.0351811587688195,[2.       2.000005 2.       ... 2.4063   2.40637  2.40643 ],[180.    179.999 179.996 ... 170.101 170.158 170.215]
216,5.0,14.0,0.203574822337379,0.03574553397318352,[2.       2.000005 2.       ... 2.43228  2.43237  2.43247 ],[180.    179.999 179.996 ... 171.774 171.827 171.88 ]
217,5.0,15.0,0.19975374622311584,0.03519377723690086,[2.       2.000005 2.       ... 2.51515  2.51527  2.51538 ],[180.    179.999 179.996 ... 168.882 168.907 168.932]
218,5.0,16.0,0.19432005447080025,0.04291779261604684,[2.       2.000005 2.       ... 2.84298  2.84385  2.84474 ],[180.    179.999 179.996 ... 159.545 159.533 159.519]
219,5.0,17.0,0.18573307444978518,0.0389893996462435,[2.       2.000005 2.       ... 2.85483  2.85594  2.85707 ],[180.    179.999 179.996 ... 158.231 158.163 158.095]
220,5.0,18.0,0.17497375377360805,0.03200982527719994,[2.       2.000005 2.       ... 2.68013  2.68066  2.68121 ],[180.    179.999 179.996 ... 162.084 162.071 162.06 ]
221,5.0,19.0,0.17071311022863003,0.030000804357253885,[2.       2.000005 2.       ... 2.72378  2.72445  2.72514 ],[180.    179.999 179.996 ... 161.078 161.057 161.036]
223,5.0,20.0,0.17453891301935553,0.03133508420453989,[2.       2.000005 2.       ... 2.67152  2.67169  2.67187 ],[180.    179.999 179.996 ... 168.552 168.505 168.46 ]
21,10.0,0.0,0.12337156355647755,0.18081185233726352,[2.       2.000005 2.       ... 2.27711  2.27745  2.2778  ],[180.    179.999 179.996 ... 123.417 123.364 123.311]
22,10.0,1.0,0.1879066761381468,0.18824441140602574,[2.       2.000005 2.       ... 1.926251 1.926691 1.927141],[180.    179.999 179.996 ... 131.789 131.897 132.004]
33,10.0,2.0,0.17919513992494185,0.13530828682684606,[2.       2.000005 2.       ... 2.96486  2.96458  2.96431 ],[180.    179.999 179.996 ... 116.042 116.134 116.225]
35,10.0,3.0,0.17871929999256292,0.10359007147122677,[2.       2.000005 2.       ... 2.70999  2.71073  2.71149 ],[180.    179.999 179.996 ... 160.736 160.797 160.856]
36,10.0,4.0,0.17525866465739215,0.08539859763457772,[2.       2.000005 2.       ... 2.75102  2.75106  2.75113 ],[180.    179.999 179.996 ... 147.671 147.801 147.932]
37,10.0,5.0,0.16435457956641325,0.04862840505146291,[2.       2.000005 2.       ... 2.50718  2.50672  2.50628 ],[180.    179.999 179.996 ... 161.86  161.884 161.906]
38,10.0,6.0,0.17145544570235638,0.04360000018314123,[2.       2.000005 2.       ... 2.82655  2.82703  2.82752 ],[180.    179.999 179.996 ... 154.212 154.263 154.314]
39,10.0,7.0,0.16591371381730818,0.03915686422388658,[2.       2.000005 2.       ... 2.5752   2.57496  2.57474 ],[180.    179.999 179.996 ... 165.833 165.813 165.793]
40,10.0,8.0,0.17383450440814577,0.05115882515346512,[2.       2.000005 2.       ... 2.77084  2.77065  2.77049 ],[180.    179.999 179.996 ... 158.547 158.478 158.408]
41,10.0,9.0,0.17114171410570256,0.037267551310317795,[2.       2.000005 2.       ... 2.82527  2.82563  2.82601 ],[180.    179.999 179.996 ... 171.378 171.475 171.572]
23,10.0,10.0,0.17344342521294598,0.03483429635912106,[2.       2.000005 2.       ... 2.83857  2.83899  2.83944 ],[180.    179.999 179.996 ... 171.086 171.117 171.146]
24,10.0,11.0,0.16907419963438228,0.032991409215821166,[2.       2.000005 2.       ... 2.60133  2.60087  2.60042 ],[180.    179.999 179.996 ... 164.165 164.189 164.213]
25,10.0,12.0,0.16935839750153306,0.03511443319545982,[2.       2.000005 2.       ... 2.64392  2.64343  2.64295 ],[180.    179.999 179.996 ... 161.681 161.714 161.746]
26,10.0,13.0,0.17113144381416961,0.036358747258046074,[2.       2.000005 2.       ... 2.90314  2.90392  2.90472 ],[180.    179.999 179.996 ... 162.123 162.062 162.001]
27,10.0,14.0,0.16687172108407827,0.031545263677773154,[2.       2.000005 2.       ... 2.86001  2.86051  2.86102 ],[180.    179.999 179.996 ... 164.036 164.027 164.018]
28,10.0,15.0,0.16332072615739082,0.027026652895092963,[2.       2.000005 2.       ... 2.80512  2.80562  2.80613 ],[180.    179.999 179.996 ... 170.695 170.684 170.673]
29,10.0,16.0,0.15977848673457942,0.03322378122754983,[2.       2.000005 2.       ... 2.60957  2.60935  2.60913 ],[180.    179.999 179.996 ... 168.037 168.012 167.988]
30,10.0,17.0,0.16162042708802343,0.033742957278867176,[2.       2.000005 2.       ... 2.623432 2.623164 2.622906],[180.    179.999 179.996 ... 166.786 166.799 166.812]
31,10.0,18.0,0.16447959994886674,0.032663069424988034,[2.       2.000005 2.       ... 2.620479 2.620178 2.619877],[180.    179.999 179.996 ... 170.248 170.315 170.383]
32,10.0,19.0,0.16882438990090054,0.030440262662002168,[2.       2.000005 2.       ... 2.60256  2.60244  2.60232 ],[180.    179.999 179.996 ... 177.681 177.596 177.508]
34,10.0,20.0,0.1788417182735054,0.03282553073388058,[2.       2.000005 2.       ... 2.94785  2.9485   2.94916 ],[180.    179.999 179.996 ... 160.518 160.522 160.526]
63,15.0,0.0,0.0759962177837954,0.1927309179766492,[2.       2.000005 2.       ... 2.304014 2.30388  2.303748],[180.     179.999  179.996  ...  75.4572  75.4556  75.4542]
64,15.0,1.0,0.13432625227084555,0.10597320315304048,[2.       2.000005 2.       ... 2.384921 2.385262 2.385608],[180.    179.999 179.996 ... 171.232 171.168 171.1  ]
75,15.0,2.0,0.17796761323330237,0.12446448410949543,[2.       2.000005 2.       ... 2.39779  2.39625  2.39473 ],[180.    179.999 179.996 ... 152.82  152.972 153.124]
77,15.0,3.0,0.14162422981431827,0.10150014431516097,[2.       2.000005 2.       ... 2.59078  2.5912   2.59164 ],[180.    179.999 179.996 ... 165.18  165.187 165.194]
78,15.0,4.0,0.14819139213704594,0.0684579627490936,[2.       2.000005 2.       ... 2.48528  2.48493  2.4846  ],[180.    179.999 179.996 ... 151.864 151.884 151.905]
79,15.0,5.0,0.1432645570038995,0.05171160627939855,[2.       2.000005 2.       ... 2.52939  2.52902  2.52865 ],[180.    179.999 179.996 ... 156.533 156.581 156.63 ]
80,15.0,6.0,0.14509153124916901,0.05117766817000146,[2.       2.000005 2.       ... 2.48283  2.4823   2.48177 ],[180.    179.999 179.996 ... 161.814 161.927 162.042]
81,15.0,7.0,0.13768280060812244,0.03724499377008899,[2.       2.000005 2.       ... 2.297886 2.297315 2.29675 ],[180.    179.999 179.996 ... 157.069 156.996 156.922]
82,15.0,8.0,0.13615035653768895,0.03745544683087998,[2.       2.000005 2.       ... 2.300759 2.30019  2.299627],[180.    179.999 179.996 ... 151.52  151.467 151.414]
83,15.0,9.0,0.13721100263225475,0.03707164049863848,[2.       2.000005 2.       ... 2.294727 2.294085 2.293449],[180.    179.999 179.996 ... 153.647 153.641 153.635]
65,15.0,10.0,0.13564234140305784,0.037302720567975074,[2.       2.000005 2.       ... 2.319296 2.318612 2.317933],[180.    179.999 179.996 ... 155.244 155.26  155.275]
66,15.0,11.0,0.13878831940519282,0.036581635043566124,[2.       2.000005 2.       ... 2.335588 2.334696 2.333817],[180.    179.999 179.996 ... 156.07  156.119 156.167]
67,15.0,12.0,0.13443260907004093,0.0365329056348959,[2.       2.000005 2.       ... 2.337107 2.336113 2.335133],[180.    179.999 179.996 ... 161.258 161.344 161.429]
68,15.0,13.0,0.1398544715566951,0.03460099833585362,[2.       2.000005 2.       ... 2.53219  2.53177  2.53137 ],[180.    179.999 179.996 ... 165.122 165.148 165.174]
69,15.0,14.0,0.13811513980503298,0.03081712049570046,[2.       2.000005 2.       ... 2.54986  2.54952  2.54922 ],[180.    179.999 179.996 ... 174.973 174.989 175.002]
70,15.0,15.0,0.13805243458656083,0.029158774958915185,[2.       2.000005 2.       ... 2.59287  2.59261  2.59235 ],[180.    179.999 179.996 ... 175.648 175.62  175.593]
71,15.0,16.0,0.13701369719435957,0.029831638740306053,[2.       2.000005 2.       ... 2.59337  2.59307  2.59279 ],[180.    179.999 179.996 ... 175.414 175.4   175.388]
72,15.0,17.0,0.138755481228453,0.03236559181514772,[2.       2.000005 2.       ... 2.55931  2.55905  2.5588  ],[180.    179.999 179.996 ... 173.709 173.668 173.626]
73,15.0,18.0,0.14482851780616854,0.033974221082739564,[2.       2.000005 2.       ... 2.58885  2.58864  2.58844 ],[180.    179.999 179.996 ... 169.113 169.047 168.981]
74,15.0,19.0,0.13889973292618749,0.031068363055357755,[2.       2.000005 2.       ... 2.259171 2.258525 2.25789 ],[180.    179.999 179.996 ... 175.458 175.415 175.372]
76,15.0,20.0,0.1422982724442524,0.028702530423294997,[2.       2.000005 2.       ... 2.258985 2.258292 2.257601],[180.    179.999 179.996 ... 174.946 174.928 174.91 ]
84,20.0,0.0,0.09438477599411901,0.1791146248814471,[2.       2.000005 2.       ... 2.24847  2.2481   2.24776 ],[180.     179.999  179.996  ...  62.6532  62.6381  62.623 ]
85,20.0,1.0,0.12388038415124532,0.10838173711911712,[2.       2.000005 2.       ... 1.853336 1.853356 1.853381],[180.    179.999 179.996 ... 163.039 163.022 163.002]
96,20.0,2.0,0.10948804407766295,0.12133205486868756,[2.       2.000005 2.       ... 2.50491  2.50453  2.50415 ],[180.    179.999 179.996 ... 138.782 138.898 139.014]
98,20.0,3.0,0.11891954069318604,0.08319562752896445,[2.       2.000005 2.       ... 2.051524 2.052586 2.053672],[180.    179.999 179.996 ... 157.529 157.415 157.3  ]
99,20.0,4.0,0.11715801343044026,0.06273606255722392,[2.       2.000005 2.       ... 2.265694 2.265446 2.265183],[180.    179.999 179.996 ... 150.256 150.286 150.317]
100,20.0,5.0,0.11001575777454593,0.055665421575820405,[2.       2.000005 2.       ... 1.987479 1.987497 1.987525],[180.    179.999 179.996 ... 164.388 164.344 164.299]
101,20.0,6.0,0.11611888674875691,0.05086385013697935,[2.       2.000005 2.       ... 2.222035 2.221682 2.221341],[180.    179.999 179.996 ... 171.087 171.218 171.351]
102,20.0,7.0,0.11482125985746529,0.03710160926812327,[2.       2.000005 2.       ... 2.00645  2.00644  2.006431],[180.    179.999 179.996 ... 161.839 161.813 161.787]
103,20.0,8.0,0.11333310188830129,0.03898485575365183,[2.       2.000005 2.       ... 2.02743  2.027299 2.027187],[180.    179.999 179.996 ... 157.119 157.151 157.183]
104,20.0,9.0,0.11373363645953567,0.037371211375878,[2.       2.000005 2.       ... 2.018319 2.01806  2.017817],[180.    179.999 179.996 ... 166.401 166.467 166.532]
86,20.0,10.0,0.1149174519269608,0.035078789501372824,[2.       2.000005 2.       ... 2.0077   2.007409 2.007126],[180.    179.999 179.996 ... 170.896 170.971 171.045]
87,20.0,11.0,0.11595690353711713,0.03703431497467782,[2.       2.000005 2.       ... 1.989773 1.989593 1.989433],[180.    179.999 179.996 ... 173.824 173.806 173.786]
88,20.0,12.0,0.11442028415720253,0.03357487117041889,[2.       2.000005 2.       ... 1.984443 1.984299 1.984165],[180.    179.999 179.996 ... 174.113 174.179 174.247]
89,20.0,13.0,0.11132577510949232,0.029536635069868575,[2.       2.000005 2.       ... 1.990924 1.990916 1.990926],[180.    179.999 179.996 ... 174.793 174.744 174.697]
90,20.0,14.0,0.11000811748359084,0.02870473314857929,[2.       2.000005 2.       ... 2.005347 2.005332 2.005335],[180.    179.999 179.996 ... 172.948 172.959 172.971]
91,20.0,15.0,0.10897128844689799,0.029502458226664037,[2.       2.000005 2.       ... 2.016597 2.016598 2.016617],[180.    179.999 179.996 ... 172.887 172.913 172.939]
92,20.0,16.0,0.11160791693061153,0.030604333740887578,[2.       2.000005 2.       ... 2.019318 2.019392 2.019475],[180.    179.999 179.996 ... 172.591 172.571 172.55 ]
93,20.0,17.0,0.11271590418685039,0.034348779132532786,[2.       2.000005 2.       ... 2.038155 2.038345 2.038543],[180.    179.999 179.996 ... 169.954 169.871 169.787]
94,20.0,18.0,0.12075558158826949,0.026594338746582607,[2.       2.000005 2.       ... 2.53926  2.53941  2.53956 ],[180.    179.999 179.996 ... 168.848 168.845 168.84 ]
95,20.0,19.0,0.11981870580016367,0.02583453453200581,[2.       2.000005 2.       ... 2.54853  2.54875  2.54897 ],[180.    179.999 179.996 ... 166.577 166.562 166.546]
97,20.0,20.0,0.11755282047801087,0.02661693061451814,[2.       2.000005 2.       ... 2.062171 2.062294 2.062421],[180.    179.999 179.996 ... 174.833 174.724 174.615]
105,25.0,0.0,0.0767545774459536,0.19069231182520566,[2.       2.000005 2.       ... 1.921176 1.921742 1.922322],[180.    179.999 179.996 ... 141.854 141.756 141.658]
106,25.0,1.0,0.09550388076688232,0.11713101385989749,[2.       2.000005 2.       ... 2.14222  2.14227  2.14234 ],[180.    179.999 179.996 ... 134.652 134.592 134.532]
117,25.0,2.0,0.11327009235220127,0.10074371416238415,[2.       2.000005 2.       ... 2.26028  2.2594   2.25854 ],[180.    179.999 179.996 ... 146.837 146.919 147.002]
119,25.0,3.0,0.1143189877987543,0.07584544217315274,[2.       2.000005 2.       ... 2.25135  2.25093  2.25054 ],[180.    179.999 179.996 ... 160.618 160.679 160.739]
120,25.0,4.0,0.10586144456413266,0.06780807087940073,[2.       2.000005 2.       ... 2.26252  2.26201  2.26152 ],[180.    179.999 179.996 ... 154.313 154.353 154.396]
121,25.0,5.0,0.10509925791040059,0.05244216545597784,[2.       2.000005 2.       ... 2.19689  2.19622  2.19557 ],[180.    179.999 179.996 ... 164.953 165.08  165.209]
122,25.0,6.0,0.10749399253387992,0.045689950905983906,[2.       2.000005 2.       ... 2.22192  2.22154  2.22117 ],[180.    179.999 179.996 ... 174.64  174.673 174.703]
123,25.0,7.0,0.10712084495101247,0.03623036572110387,[2.       2.000005 2.       ... 2.136827 2.137246 2.137668],[180.    179.999 179.996 ... 163.595 163.571 163.547]
124,25.0,8.0,0.10668819421433552,0.03430141898497034,[2.       2.000005 2.       ... 2.129208 2.129492 2.129789],[180.    179.999 179.996 ... 164.446 164.486 164.524]
125,25.0,9.0,0.10742026025238151,0.032594007921737465,[2.       2.000005 2.       ... 2.108491 2.108812 2.109143],[180.    179.999 179.996 ... 174.025 174.06  174.094]
107,25.0,10.0,0.10852814422173102,0.03203648959884609,[2.       2.000005 2.       ... 2.108057 2.108448 2.108849],[180.    179.999 179.996 ... 177.454 177.481 177.506]
108,25.0,11.0,0.10867234897673297,0.033785496936438626,[2.       2.000005 2.       ... 2.121651 2.122096 2.122537],[180.    179.999 179.996 ... 174.69  174.708 174.726]
109,25.0,12.0,0.10798441148741524,0.03500655233583048,[2.       2.000005 2.       ... 2.13723  2.13766  2.13809 ],[180.    179.999 179.996 ... 178.3   178.244 178.188]
110,25.0,13.0,0.106037330770463,0.03284035318087237,[2.       2.000005 2.       ... 2.15299  2.15332  2.15367 ],[180.    179.999 179.996 ... 171.48  171.45  171.421]
111,25.0,14.0,0.10363392424536456,0.030021014079649945,[2.       2.000005 2.       ... 2.15509  2.15527  2.15547 ],[180.    179.999 179.996 ... 172.602 172.608 172.613]
112,25.0,15.0,0.1023973904550893,0.030049953577885955,[2.       2.000005 2.       ... 2.15594  2.15612  2.1563  ],[180.    179.999 179.996 ... 172.243 172.214 172.185]
113,25.0,16.0,0.10289381681515226,0.030506234404840293,[2.       2.000005 2.       ... 2.16084  2.16104  2.16124 ],[180.    179.999 179.996 ... 169.086 169.04  168.994]
114,25.0,17.0,0.10621270217432835,0.021367631564509732,[2.       2.000005 2.       ... 2.2634   2.26355  2.2637  ],[180.    179.999 179.996 ... 172.118 172.138 172.158]
115,25.0,18.0,0.11868628259186445,0.024074081518620893,[2.       2.000005 2.       ... 2.49588  2.49558  2.49528 ],[180.    179.999 179.996 ... 166.857 166.802 166.747]
116,25.0,19.0,0.11907608565485832,0.02515174733834594,[2.       2.000005 2.       ... 2.50742  2.50712  2.50682 ],[180.    179.999 179.996 ... 165.667 165.625 165.582]
118,25.0,20.0,0.11996750164173686,0.026337887794389832,[2.       2.000005 2.       ... 2.51797  2.51757  2.51719 ],[180.    179.999 179.996 ... 164.734 164.719 164.702]
126,30.0,0.0,0.061236755330751194,0.19841921574268126,[2.       2.000005 2.       ... 2.31506  2.31707  2.3191  ],[180.     179.999  179.996  ...  98.8656  98.7468  98.6274]
127,30.0,1.0,0.11917070488435527,0.14486994947603182,[2.       2.000005 2.       ... 2.10126  2.10014  2.09905 ],[180.    179.999 179.996 ... 148.714 148.843 148.97 ]
138,30.0,2.0,0.10220784266393623,0.11976912757865299,[2.       2.000005 2.       ... 2.31229  2.31367  2.31505 ],[180.    179.999 179.996 ... 140.328 140.307 140.286]
140,30.0,3.0,0.11074985179891156,0.0813370232560047,[2.       2.000005 2.       ... 2.20023  2.19915  2.19809 ],[180.    179.999 179.996 ... 165.471 165.603 165.735]
141,30.0,4.0,0.10144825021887453,0.057863640533303715,[2.       2.000005 2.       ... 2.09905  2.09797  2.0969  ],[180.    179.999 179.996 ... 153.314 153.361 153.41 ]
142,30.0,5.0,0.10434708816499254,0.05263788787287647,[2.       2.000005 2.       ... 2.08121  2.0801   2.079   ],[180.    179.999 179.996 ... 159.921 160.01  160.101]
143,30.0,6.0,0.10839965537786195,0.045782436964190265,[2.       2.000005 2.       ... 2.11724  2.11636  2.11551 ],[180.    179.999 179.996 ... 176.076 176.076 176.069]
144,30.0,7.0,0.11595904163019381,0.034569532274647215,[2.       2.000005 2.       ... 2.19185  2.19094  2.19004 ],[180.    179.999 179.996 ... 169.933 170.003 170.073]
145,30.0,8.0,0.10675753355272793,0.03736855664849336,[2.       2.000005 2.       ... 2.098785 2.098355 2.097956],[180.    179.999 179.996 ... 162.736 162.577 162.416]
146,30.0,9.0,0.10661406171528605,0.032147137102650714,[2.       2.000005 2.       ... 2.121624 2.121239 2.120851],[180.    179.999 179.996 ... 168.836 168.826 168.815]
128,30.0,10.0,0.10596074067409166,0.03261540663777988,[2.       2.000005 2.       ... 2.117906 2.117533 2.117177],[180.    179.999 179.996 ... 169.427 169.412 169.395]
129,30.0,11.0,0.11686091319770761,0.03879895978872642,[2.       2.000005 2.       ... 2.22349  2.22302  2.22258 ],[180.    179.999 179.996 ... 156.133 156.043 155.952]
130,30.0,12.0,0.11501450628112816,0.03493510386554888,[2.       2.000005 2.       ... 2.21718  2.21644  2.21571 ],[180.    179.999 179.996 ... 157.822 157.781 157.74 ]
131,30.0,13.0,0.1109798842863941,0.030886711738695352,[2.       2.000005 2.       ... 2.15815  2.15731  2.15649 ],[180.    179.999 179.996 ... 166.852 166.823 166.793]
132,30.0,14.0,0.10318998805297817,0.023444588531157527,[2.       2.000005 2.       ... 2.113712 2.113206 2.112717],[180.    179.999 179.996 ... 172.353 172.348 172.342]
133,30.0,15.0,0.10335531834951027,0.02354375646410167,[2.       2.000005 2.       ... 2.107512 2.107033 2.106549],[180.    179.999 179.996 ... 171.032 171.021 171.011]
134,30.0,16.0,0.10562019364252147,0.030289393352973384,[2.       2.000005 2.       ... 2.09559  2.094683 2.093796],[180.    179.999 179.996 ... 166.847 166.867 166.888]
135,30.0,17.0,0.1018284872039211,0.02959548563502677,[2.       2.000005 2.       ... 2.0898   2.08927  2.08875 ],[180.    179.999 179.996 ... 173.966 173.975 173.982]
136,30.0,18.0,0.10350175827123742,0.021803402173330728,[2.       2.000005 2.       ... 2.2281   2.22775  2.22741 ],[180.    179.999 179.996 ... 174.527 174.533 174.539]
137,30.0,19.0,0.1215232311735991,0.02593218085706118,[2.       2.000005 2.       ... 2.42705  2.42648  2.42592 ],[180.    179.999 179.996 ... 168.04  168.013 167.985]
139,30.0,20.0,0.12245294352734719,0.02721856618140695,[2.       2.000005 2.       ... 2.43183  2.43119  2.43055 ],[180.    179.999 179.996 ... 166.234 166.226 166.217]
